--------- beginning of main
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: Voilatile gRPC failure INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header. [CONTEXT service_id=6 ]
06-22 18:24:53.255  5707 15596 W GlsClientGrpc: jlsp: INVALID_ARGUMENT: Application credential header not valid. Please fix the client to pass a valid application credential header.
06-22 18:27:22.802   700   711 I ndroid.systemui: Background concurrent copying GC freed 365548(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 84us,58us total 126.432ms
06-22 18:27:25.733  2632  2632 W ThreadPoolForeg: type=1400 audit(0.0:1751): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:26.690   700   711 I ndroid.systemui: Background concurrent copying GC freed 351474(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 221us,475us total 115.825ms
06-22 18:27:29.683   500   580 D ActivityManager: freezing 10550 com.google.android.googlequicksearchbox:search
06-22 18:27:29.719   500   580 D ActivityManager: freezing 14710 com.google.android.apps.photos
06-22 18:27:29.857   700   711 I ndroid.systemui: Background concurrent copying GC freed 355810(18MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 78us,55us total 103.435ms
06-22 18:27:30.030   500   580 D ActivityManager: freezing 15235 com.android.remoteprovisioner
06-22 18:27:31.936   500   580 D ActivityManager: freezing 14058 com.google.android.apps.messaging
06-22 18:27:31.977   500   580 D ActivityManager: freezing 14541 com.android.chrome
06-22 18:27:31.979   500   580 D ActivityManager: freezing 14765 com.google.android.documentsui
06-22 18:27:31.980   500   580 D ActivityManager: freezing 14810 com.google.android.apps.docs
06-22 18:27:32.202   500   580 D ActivityManager: freezing 15119 com.google.process.gapps
06-22 18:27:34.865  1527  1527 W ThreadPoolForeg: type=1400 audit(0.0:1752): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:39.622   700   711 I ndroid.systemui: Background concurrent copying GC freed 361602(19MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 16MB/33MB, paused 81us,520us total 119.855ms
06-22 18:27:39.829   500   580 D ActivityManager: freezing 14807 com.google.android.permissioncontroller
06-22 18:27:40.533  5707  5707 W ThreadPoolForeg: type=1400 audit(0.0:1753): avc: denied { write } for name="traced_producer" dev="tmpfs" ino=648 scontext=u:r:gmscore_app:s0:c512,c768 tcontext=u:object_r:traced_producer_socket:s0 tclass=sock_file permissive=0 app=com.google.android.gms
06-22 18:27:40.676   315   315 E android.hardware.power.stats@1.0-service-mock: Failed to getEnergyData
06-22 18:27:42.046   700   711 I ndroid.systemui: Background concurrent copying GC freed 365582(19MB) AllocSpace objects, 1(20KB) LOS objects, 50% free, 17MB/34MB, paused 80us,57us total 127.209ms
06-22 18:27:46.944   700   711 I ndroid.systemui: Background concurrent copying GC freed 371369(19MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 16MB/33MB, paused 62us,45us total 106.916ms
06-22 18:27:52.269   700   711 I ndroid.systemui: Background concurrent copying GC freed 353616(18MB) AllocSpace objects, 1(20KB) LOS objects, 49% free, 16MB/33MB, paused 711us,282us total 114.969ms
06-22 18:27:52.931  5707  5774 W Settings: Setting airplane_mode_on has moved from android.provider.Settings.System to android.provider.Settings.Global, returning read-only value.
06-22 18:27:52.937  5707 15659 W SystemServiceRegistry: No service published for: wifirtt
06-22 18:27:53.737   500  2310 D WifiNl80211Manager: Scan result ready event
06-22 18:27:53.737   500  2310 D WifiNative: Scan result ready event
06-22 18:27:53.758  5707 15659 I FrewleTileCacheManagerV: (REDACTED) Fetched %d AP models from cache
06-22 18:27:53.770  5707  5774 I ActivityScheduler: nextTriggerTime: 13530515, in 177422ms, detectorType: 39, FULL_TYPE alarmWindowMillis: 80000
